instance,target,algorithm,seed,time_sec,hit,best_cost
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,0,3.3336,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,1,16.0542,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,2,4.4259,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,3,7.0609,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,4,10.7908,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,5,87.6991,0,490.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,6,2.4805,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,7,3.6316,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,8,3.9396,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,9,7.0237,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,10,4.0405,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,11,26.6562,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,12,6.5624,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,13,3.6809,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,14,3.7883,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,15,4.3886,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,16,94.1811,0,490.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,17,5.3055,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,18,2.6013,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,19,2.4253,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,20,3.0229,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,21,2.8943,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,22,10.9640,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,23,8.1170,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,24,3.5147,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,25,87.6483,0,490.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,26,88.6492,0,483.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,27,8.9829,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,28,5.0264,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,29,88.4481,0,487.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,30,15.0604,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,31,23.0300,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,32,4.9472,1,514.00
instance-06.txt,513.0,GA_pop100_mut0.01_gen1000,33,9.3834,1,514.00
